time_in,time_out,framing,cast_all,cast_singer,cast_bass,cast_drumms,styling
00:00:00:00,00:00:05:12,full,X,,,,black
00:00:05:12,00:00:07:12,close,,X,,,black
00:00:07:12,00:00:09:13,none,,,,,
00:00:09:13,00:00:11:12,full,,X,,,black
00:00:11:12,00:00:13:11,close,,,X,,black
00:00:13:11,00:00:16:01,medium,,X,,,black
00:00:16:01,00:00:17:22,full,,,X,,black
00:00:17:22,00:00:20:05,close,,X,,,black
00:00:20:05,00:00:21:10,close,,,,X,black
00:00:21:10,00:00:22:15,medium,,,,X,black
00:00:22:15,00:00:24:04,full,X,,,,black
00:00:24:04,00:00:26:14,close,,,,X,black
00:00:26:14,00:00:28:09,close,,X,,,black
00:00:28:09,00:00:31:06,full,,,,X,black
00:00:31:06,00:00:32:22,close,,,X,,black
00:00:32:22,00:00:35:19,full,,X,,,black
00:00:35:19,00:00:37:05,medium,,X,,,black
00:00:37:05,00:00:39:08,full,,,,X,black
00:00:39:08,00:00:40:22,medium,X,,,,black
00:00:40:22,00:00:41:20,medium,,X,,,black
00:00:41:20,00:00:43:03,full,X,,,,black
00:00:43:03,00:00:45:03,medium,,X,,,black
00:00:45:03,00:00:46:08,medium,,,X,,black
00:00:46:08,00:00:47:22,full,,,X,,black
00:00:47:22,00:00:50:01,close,,X,,,black
00:00:50:01,00:00:51:24,medium,,X,,,black
00:00:51:24,00:00:52:23,none,,,,,black
00:00:52:23,00:00:53:20,close,,X,,,black
00:00:53:20,00:00:54:21,medium,X,,,,black
00:00:54:21,00:00:56:04,medium,,X,,,black
00:00:56:04,00:00:57:04,full,,,,X,black
00:00:57:04,00:00:57:19,medium,,,,X,black
00:00:57:19,00:00:58:15,medium,X,,,,black
00:00:58:15,00:00:59:10,full,X,,,,color
00:00:59:10,00:01:00:02,medium,,X,,,black
00:01:00:02,00:01:01:00,medium,X,,,,color
00:01:01:00,00:01:01:10,close,,X,,,black
00:01:01:10,00:01:02:08,full,,X,,,black
